GO_term1	GO_term2	similarity
GO:0009642	GO:0009642	0.533
GO:0034644	GO:0034644	0.559
GO:0071479	GO:0071479	0.466
GO:0009644	GO:0009644	0.623
GO:0071482	GO:0071482	0.716
GO:1990603	GO:1990603	0.61
GO:0008286	GO:0008286	0.804
GO:0071320	GO:0071320	0.553
GO:0032868	GO:0032868	0.635
GO:0071377	GO:0071377	0.795
GO:0071374	GO:0071374	0.508
GO:0071314	GO:0071314	0.526
GO:1990776	GO:1990776	0.507
GO:0043434	GO:0043434	0.603
GO:0071230	GO:0071230	0.583
GO:0033762	GO:0033762	0.507
GO:0060416	GO:0060416	0.507
GO:0071318	GO:0071318	0.553
GO:0071409	GO:0071409	0.495
GO:1905795	GO:1905795	0.568
GO:1904646	GO:1904646	0.658
GO:1905232	GO:1905232	0.504
GO:0071395	GO:0071395	0.506
GO:0071379	GO:0071379	0.508
GO:0097069	GO:0097069	0.484
GO:1904385	GO:1904385	0.795
GO:0009755	GO:0009755	0.472
GO:0060397	GO:0060397	0.624
GO:0038020	GO:0038020	0.515
GO:0046627	GO:0046627	0.545
GO:0071225	GO:0071225	0.658
GO:0072717	GO:0072717	0.624
GO:0032870	GO:0032870	0.631
GO:0038166	GO:0038166	0.647
GO:1904845	GO:1904845	0.504
GO:0046626	GO:0046626	0.654
GO:1900076	GO:1900076	0.824
GO:0071375	GO:0071375	0.904
GO:0071415	GO:0071415	0.506
GO:0071391	GO:0071391	0.508
GO:0035984	GO:0035984	0.547
GO:0072740	GO:0072740	0.546
GO:0110062	GO:0110062	0.486
GO:0071378	GO:0071378	0.795
GO:0071870	GO:0071870	0.526
GO:1904117	GO:1904117	0.795
GO:1901653	GO:1901653	0.777
GO:0071312	GO:0071312	0.546
GO:0046628	GO:0046628	0.545
GO:0097210	GO:0097210	0.507
GO:0071420	GO:0071420	0.506
GO:0060396	GO:0060396	0.641
GO:1901652	GO:1901652	0.482
GO:0044320	GO:0044320	0.508
GO:0071373	GO:0071373	0.741
GO:0044381	GO:0044381	0.795
GO:0097067	GO:0097067	0.508
GO:1905225	GO:1905225	0.507
GO:1990646	GO:1990646	0.795
GO:0060399	GO:0060399	0.467
GO:0071233	GO:0071233	0.504
GO:1904015	GO:1904015	0.526
GO:1990839	GO:1990839	0.507
GO:0110063	GO:0110063	0.486
GO:0071321	GO:0071321	0.553
GO:0072757	GO:0072757	0.469
GO:0071681	GO:0071681	0.528
GO:0071504	GO:0071504	0.625
GO:1905430	GO:1905430	0.504
GO:0071371	GO:0071371	0.508
GO:1990314	GO:1990314	0.83
GO:1990637	GO:1990637	0.507
GO:0071224	GO:0071224	0.52
GO:0061847	GO:0061847	0.507
GO:0071376	GO:0071376	0.795
GO:1904586	GO:1904586	0.546
GO:1990680	GO:1990680	0.507
GO:0086098	GO:0086098	0.563
GO:1904401	GO:1904401	0.53
GO:0086097	GO:0086097	0.604
GO:1905145	GO:1905145	0.471
GO:1990859	GO:1990859	0.795
GO:0110061	GO:0110061	0.553
GO:1902350	GO:1902350	0.506
GO:0072753	GO:0072753	0.658
GO:0072752	GO:0072752	0.467
GO:0071418	GO:0071418	0.546
GO:0034699	GO:0034699	0.481
GO:1903577	GO:1903577	0.504
GO:0060398	GO:0060398	0.53
GO:0060400	GO:0060400	0.467
GO:1905243	GO:1905243	0.478
GO:0097211	GO:0097211	0.795
GO:0072749	GO:0072749	0.583
GO:0045598	GO:0045598	0.631
GO:0030154	GO:0030154	0.837
GO:0030182	GO:0030182	0.5
GO:0045445	GO:0045445	0.57
GO:0051146	GO:0051146	0.505
GO:0060290	GO:0060290	0.679
GO:0030855	GO:0030855	0.545
GO:0032502	GO:0032502	0.474
GO:0050873	GO:0050873	0.841
GO:0045165	GO:0045165	0.708
GO:0048625	GO:0048625	0.487
GO:0022008	GO:0022008	0.507
GO:0045599	GO:0045599	0.512
GO:0002268	GO:0002268	0.57
GO:0001649	GO:0001649	0.576
GO:0045595	GO:0045595	0.522
GO:0045600	GO:0045600	0.512
GO:0043697	GO:0043697	0.503
GO:0010001	GO:0010001	0.5
GO:0050872	GO:0050872	0.841
GO:0072497	GO:0072497	0.571
GO:0048469	GO:0048469	0.514
GO:1904238	GO:1904238	0.679
GO:1903251	GO:1903251	0.488
GO:0048863	GO:0048863	0.679
GO:0035026	GO:0035026	0.488
GO:0014016	GO:0014016	0.5
GO:0001708	GO:0001708	0.632
GO:0051145	GO:0051145	0.505
GO:0090335	GO:0090335	0.548
GO:0042692	GO:0042692	0.57
GO:0001709	GO:0001709	0.632
GO:0048468	GO:0048468	0.642
GO:0030318	GO:0030318	0.509
GO:1990963	GO:1990963	0.558
GO:0048762	GO:0048762	0.47
GO:0060231	GO:0060231	0.488
GO:0070315	GO:0070315	0.545
GO:0055001	GO:0055001	0.479
GO:0010623	GO:0010623	0.514
GO:0048864	GO:0048864	0.508
GO:0035051	GO:0035051	0.47
GO:0042693	GO:0042693	0.487
GO:0060718	GO:0060718	0.545
GO:0002051	GO:0002051	0.487
GO:0010742	GO:0010742	0.571
GO:0036446	GO:0036446	0.679
GO:0010453	GO:0010453	0.473
GO:0035990	GO:0035990	0.466
GO:0072148	GO:0072148	0.473
GO:0048866	GO:0048866	0.469
GO:0007402	GO:0007402	0.548
GO:0048627	GO:0048627	0.479
GO:0048773	GO:0048773	0.509
GO:0005975	GO:0005975	0.638
GO:0006013	GO:0006013	0.734
GO:0006094	GO:0006094	0.656
GO:0006004	GO:0006004	0.734
GO:0006012	GO:0006012	0.734
GO:0046370	GO:0046370	0.482
GO:0042732	GO:0042732	0.548
GO:0005997	GO:0005997	0.548
GO:0044281	GO:0044281	0.494
GO:0010906	GO:0010906	0.537
GO:0009311	GO:0009311	0.497
GO:0006014	GO:0006014	0.548
GO:0006007	GO:0006007	0.656
GO:0006000	GO:0006000	0.734
GO:0019388	GO:0019388	0.482
GO:0061611	GO:0061611	0.635
GO:0019319	GO:0019319	0.559
GO:0005996	GO:0005996	0.787
GO:0019321	GO:0019321	0.65
GO:0045725	GO:0045725	0.537
GO:0005977	GO:0005977	0.729
GO:0030311	GO:0030311	0.565
GO:0000271	GO:0000271	0.545
GO:0005979	GO:0005979	0.633
GO:0045719	GO:0045719	0.561
GO:0005980	GO:0005980	0.534
GO:0070873	GO:0070873	0.468
GO:0032869	GO:0032869	0.804
GO:0007165	GO:0007165	0.497
GO:0007166	GO:0007166	0.49
GO:0008543	GO:0008543	0.525
GO:0007212	GO:0007212	0.515
GO:0007169	GO:0007169	0.537
GO:0048011	GO:0048011	0.51
GO:0008628	GO:0008628	0.473
GO:0007210	GO:0007210	0.515
GO:0038170	GO:0038170	0.488
GO:0038084	GO:0038084	0.486
GO:0038161	GO:0038161	0.511
GO:0007167	GO:0007167	0.502
GO:0033210	GO:0033210	0.472
GO:0033211	GO:0033211	0.511
GO:0040036	GO:0040036	0.472
GO:0038109	GO:0038109	0.477
GO:0009756	GO:0009756	0.507
GO:0002154	GO:0002154	0.502
GO:0019722	GO:0019722	0.826
GO:0007186	GO:0007186	0.815
GO:0045744	GO:0045744	0.495
GO:0050853	GO:0050853	0.489
GO:0007173	GO:0007173	0.592
GO:0038127	GO:0038127	0.627
GO:0038133	GO:0038133	0.527
GO:0070371	GO:0070371	0.826
GO:0048009	GO:0048009	0.627
GO:0061514	GO:0061514	0.568
GO:0000165	GO:0000165	0.902
GO:0032872	GO:0032872	0.529
GO:0051403	GO:0051403	0.718
GO:0050852	GO:0050852	0.489
GO:0070498	GO:0070498	0.515
GO:1904262	GO:1904262	0.509
GO:0070374	GO:0070374	0.509
GO:0042770	GO:0042770	0.784
GO:0048013	GO:0048013	0.627
GO:0030522	GO:0030522	0.815
GO:0045879	GO:0045879	0.48
GO:0007265	GO:0007265	0.826
GO:0007224	GO:0007224	0.736
GO:0043123	GO:0043123	0.55
GO:0001836	GO:0001836	0.568
GO:0007219	GO:0007219	0.736
GO:0008631	GO:0008631	0.578
GO:0007193	GO:0007193	0.674
GO:0007187	GO:0007187	0.736
GO:0010754	GO:0010754	0.521
GO:0070373	GO:0070373	0.509
GO:0007266	GO:0007266	0.769
GO:0008630	GO:0008630	0.648
GO:0042771	GO:0042771	0.582
