GO_term1	GO_term2	similarity
GO:0050660	GO:0050660	0.568
GO:0061507	GO:0061507	0.714
GO:0043531	GO:0043531	0.797
GO:0005525	GO:0005525	0.609
GO:0120225	GO:0120225	0.797
GO:0030553	GO:0030553	0.611
GO:0000062	GO:0000062	0.57
GO:0032553	GO:0032553	0.621
GO:0010181	GO:0010181	0.63
GO:0030552	GO:0030552	0.771
GO:0016208	GO:0016208	0.758
GO:0035639	GO:0035639	0.653
GO:1905502	GO:1905502	0.687
GO:0017076	GO:0017076	0.567
GO:0050656	GO:0050656	0.762
GO:0032564	GO:0032564	0.567
GO:0032555	GO:0032555	0.696
GO:0005506	GO:0005506	0.709
GO:0008270	GO:0008270	0.709
GO:0000287	GO:0000287	0.825
GO:0008199	GO:0008199	0.63
GO:0008198	GO:0008198	0.63
GO:0005507	GO:0005507	0.709
GO:0030145	GO:0030145	0.709
GO:0030955	GO:0030955	0.709
GO:0005509	GO:0005509	0.825
GO:0016151	GO:0016151	0.709
GO:0019810	GO:0019810	0.584
GO:0019809	GO:0019809	0.584
GO:0031402	GO:0031402	0.709
GO:1903135	GO:1903135	0.63
GO:0031403	GO:0031403	0.709
GO:1904047	GO:1904047	0.584
GO:0042166	GO:0042166	0.584
GO:0033265	GO:0033265	0.639
GO:0046914	GO:0046914	0.825
GO:1903136	GO:1903136	0.63
GO:0099567	GO:0099567	0.63
GO:0099534	GO:0099534	0.63
GO:0061891	GO:0061891	0.652
GO:0046870	GO:0046870	0.709
GO:0043169	GO:0043169	0.812
GO:0030151	GO:0030151	0.709
GO:0045340	GO:0045340	0.709
GO:0050897	GO:0050897	0.709
GO:0046911	GO:0046911	0.825
GO:0004674	GO:0004674	0.881
GO:0004707	GO:0004707	0.752
GO:0008353	GO:0008353	0.752
GO:0106264	GO:0106264	0.677
GO:0004691	GO:0004691	0.656
GO:0004672	GO:0004672	0.807
GO:0004712	GO:0004712	0.677
GO:0004692	GO:0004692	0.656
GO:0016301	GO:0016301	0.578
GO:0050321	GO:0050321	0.677
GO:0004711	GO:0004711	0.752
GO:0004713	GO:0004713	0.677
GO:0047322	GO:0047322	0.677
GO:0004679	GO:0004679	0.752
GO:0004673	GO:0004673	0.635
GO:0035402	GO:0035402	0.618
GO:0004708	GO:0004708	0.579
GO:0097472	GO:0097472	0.677
GO:0004693	GO:0004693	0.692
GO:0004698	GO:0004698	0.57
GO:0004697	GO:0004697	0.752
GO:0035403	GO:0035403	0.618
GO:0004709	GO:0004709	0.752
GO:0004740	GO:0004740	0.677
GO:0004683	GO:0004683	0.752
GO:0004715	GO:0004715	0.579
GO:0004694	GO:0004694	0.703
GO:0050254	GO:0050254	0.677
GO:0047696	GO:0047696	0.677
GO:0004703	GO:0004703	0.752
GO:0004699	GO:0004699	0.656
GO:0004706	GO:0004706	0.656
GO:0035175	GO:0035175	0.618
GO:0035173	GO:0035173	0.677
GO:0008349	GO:0008349	0.752
GO:0004687	GO:0004687	0.752
GO:0008384	GO:0008384	0.752
GO:0017002	GO:0017002	0.567
GO:0004675	GO:0004675	0.617
GO:0098821	GO:0098821	0.567
GO:0005024	GO:0005024	0.567
GO:0004677	GO:0004677	0.752
GO:0035979	GO:0035979	0.618
GO:0009931	GO:0009931	0.692
GO:0004686	GO:0004686	0.656
GO:0016773	GO:0016773	0.578
GO:0033867	GO:0033867	0.752
GO:0102194	GO:0102194	0.564
GO:0102193	GO:0102193	0.564
GO:0072354	GO:0072354	0.618
GO:0034211	GO:0034211	0.752
GO:0004676	GO:0004676	0.752
GO:0004689	GO:0004689	0.656
GO:0072518	GO:0072518	0.752
GO:0044022	GO:0044022	0.618
GO:1990244	GO:1990244	0.618
GO:0106310	GO:0106310	0.881
GO:0008887	GO:0008887	0.6
GO:0004496	GO:0004496	0.6
GO:0050262	GO:0050262	0.6
GO:0035299	GO:0035299	0.6
GO:0004020	GO:0004020	0.6
GO:0004714	GO:0004714	0.559
GO:0004371	GO:0004371	0.6
GO:0050354	GO:0050354	0.6
GO:0004103	GO:0004103	0.6
GO:0004305	GO:0004305	0.6
GO:0003951	GO:0003951	0.6
GO:0047933	GO:0047933	0.6
GO:0004140	GO:0004140	0.6
GO:0004594	GO:0004594	0.6
GO:0008531	GO:0008531	0.6
GO:0046316	GO:0046316	0.6
GO:0035401	GO:0035401	0.553
GO:0052839	GO:0052839	0.6
GO:0052836	GO:0052836	0.6
GO:0051765	GO:0051765	0.6
GO:0016362	GO:0016362	0.656
GO:0016361	GO:0016361	0.656
GO:0005025	GO:0005025	0.656
GO:0043843	GO:0043843	0.6
GO:0005026	GO:0005026	0.656
GO:0004143	GO:0004143	0.6
GO:0047649	GO:0047649	0.6
GO:0050201	GO:0050201	0.6
GO:0004370	GO:0004370	0.6
GO:0008478	GO:0008478	0.6
GO:0052742	GO:0052742	0.6
GO:0050277	GO:0050277	0.6
GO:0047931	GO:0047931	0.6
GO:0019912	GO:0019912	0.583
GO:0004168	GO:0004168	0.6
GO:0004051	GO:0004051	0.709
GO:0036403	GO:0036403	0.709
GO:0016701	GO:0016701	0.633
GO:0016702	GO:0016702	0.855
GO:0010308	GO:0010308	0.709
GO:0010309	GO:0010309	0.709
GO:0050473	GO:0050473	0.709
GO:0016165	GO:0016165	0.709
GO:0017172	GO:0017172	0.709
GO:0000334	GO:0000334	0.709
GO:0003868	GO:0003868	0.709
GO:0051213	GO:0051213	0.633
GO:0004411	GO:0004411	0.709
GO:0033754	GO:0033754	0.709
GO:0004833	GO:0004833	0.709
GO:0050585	GO:0050585	0.709
GO:0047800	GO:0047800	0.709
GO:0003834	GO:0003834	0.709
GO:0010436	GO:0010436	0.709
GO:0010437	GO:0010437	0.605
GO:0102076	GO:0102076	0.709
GO:0050313	GO:0050313	0.709
GO:1990136	GO:1990136	0.709
GO:0004052	GO:0004052	0.709
GO:0004175	GO:0004175	0.598
GO:0008237	GO:0008237	0.598
GO:0008233	GO:0008233	0.687
GO:0016799	GO:0016799	0.657
GO:0008238	GO:0008238	0.598
GO:0008242	GO:0008242	0.598
GO:0004359	GO:0004359	0.573
GO:0018773	GO:0018773	0.573
GO:0047621	GO:0047621	0.573
GO:0034545	GO:0034545	0.573
GO:0004301	GO:0004301	0.573
GO:0004463	GO:0004463	0.573
GO:0004046	GO:0004046	0.573
GO:0004037	GO:0004037	0.573
GO:0016811	GO:0016811	0.657
GO:0004151	GO:0004151	0.573
GO:0008800	GO:0008800	0.573
GO:0004519	GO:0004519	0.573
GO:0103023	GO:0103023	0.573
GO:0016791	GO:0016791	0.573
GO:0004527	GO:0004527	0.573
GO:0061690	GO:0061690	0.573
GO:0061697	GO:0061697	0.573
GO:0036055	GO:0036055	0.573
GO:0008081	GO:0008081	0.573
GO:0008783	GO:0008783	0.573
GO:0004053	GO:0004053	0.573
GO:0047971	GO:0047971	0.573
GO:0047972	GO:0047972	0.573
GO:0003824	GO:0003824	0.743
GO:0106008	GO:0106008	0.573
GO:0050152	GO:0050152	0.573
GO:0017159	GO:0017159	0.573
GO:0016289	GO:0016289	0.573
GO:0052689	GO:0052689	0.657
GO:0004013	GO:0004013	0.573
GO:0047977	GO:0047977	0.573
GO:0004065	GO:0004065	0.573
GO:0004098	GO:0004098	0.573
GO:0008484	GO:0008484	0.657
GO:0003943	GO:0003943	0.573
GO:0033889	GO:0033889	0.573
GO:0015024	GO:0015024	0.573
GO:0033963	GO:0033963	0.573
GO:0017057	GO:0017057	0.573
GO:0004773	GO:0004773	0.573
GO:0046936	GO:0046936	0.657
GO:0019239	GO:0019239	0.788
GO:0004518	GO:0004518	0.657
GO:0070694	GO:0070694	0.573
GO:0004553	GO:0004553	0.657
GO:0102390	GO:0102390	0.573
GO:0016298	GO:0016298	0.657
GO:0016788	GO:0016788	0.788
GO:0101005	GO:0101005	0.687
GO:1990380	GO:1990380	0.598
GO:0061578	GO:0061578	0.598
GO:0004104	GO:0004104	0.573
GO:0017171	GO:0017171	0.788
GO:0016462	GO:0016462	0.573
GO:0004568	GO:0004568	0.573
GO:0033558	GO:0033558	0.594
GO:0110050	GO:0110050	0.573
GO:0003837	GO:0003837	0.573
GO:0004040	GO:0004040	0.573
GO:0017064	GO:0017064	0.573
GO:0042586	GO:0042586	0.573
GO:0016812	GO:0016812	0.657
GO:0050480	GO:0050480	0.573
GO:0004157	GO:0004157	0.573
GO:0030429	GO:0030429	0.573
GO:0004061	GO:0004061	0.573
GO:0016160	GO:0016160	0.573
GO:0050129	GO:0050129	0.573
GO:0004064	GO:0004064	0.573
GO:0003847	GO:0003847	0.573
GO:0004067	GO:0004067	0.573
GO:0004566	GO:0004566	0.573
GO:0004336	GO:0004336	0.573
GO:0004348	GO:0004348	0.573
GO:0000016	GO:0000016	0.573
GO:0008234	GO:0008234	0.598
GO:0004668	GO:0004668	0.573
GO:0050568	GO:0050568	0.573
GO:0019213	GO:0019213	0.788
GO:0019807	GO:0019807	0.573
GO:0070001	GO:0070001	0.598
GO:0033925	GO:0033925	0.573
GO:0018738	GO:0018738	0.573
GO:0004416	GO:0004416	0.573
GO:0015929	GO:0015929	0.573
GO:0043530	GO:0043530	0.573
GO:0047376	GO:0047376	0.573
GO:0050253	GO:0050253	0.573
GO:0140293	GO:0140293	0.573
GO:0016798	GO:0016798	0.788
GO:0061463	GO:0061463	0.657
GO:0047378	GO:0047378	0.573
GO:0000224	GO:0000224	0.573
GO:0102571	GO:0102571	0.573
GO:0004620	GO:0004620	0.573
GO:0004334	GO:0004334	0.573
GO:0016250	GO:0016250	0.657
GO:0003948	GO:0003948	0.573
GO:0140292	GO:0140292	0.573
GO:0004649	GO:0004649	0.573
GO:0016818	GO:0016818	0.657
GO:0008449	GO:0008449	0.573
GO:0016997	GO:0016997	0.573
GO:0016403	GO:0016403	0.573
GO:0051747	GO:0051747	0.581
GO:0052885	GO:0052885	0.573
GO:0052884	GO:0052884	0.573
GO:0043890	GO:0043890	0.573
GO:0098599	GO:0098599	0.788
GO:0016790	GO:0016790	0.657
GO:0015923	GO:0015923	0.573
GO:0017040	GO:0017040	0.573
GO:0003940	GO:0003940	0.573
GO:0070002	GO:0070002	0.598
GO:0004423	GO:0004423	0.573
GO:0008418	GO:0008418	0.573
GO:0070773	GO:0070773	0.573
GO:0050185	GO:0050185	0.573
GO:0003998	GO:0003998	0.573
GO:0017168	GO:0017168	0.573
GO:0047658	GO:0047658	0.573
GO:0036054	GO:0036054	0.573
GO:0050187	GO:0050187	0.657
GO:0046872	GO:0046872	0.709
GO:0034986	GO:0034986	0.714
GO:0004601	GO:0004601	0.594
GO:0004666	GO:0004666	0.657
GO:0004028	GO:0004028	0.573
GO:0046577	GO:0046577	0.573
GO:0004043	GO:0004043	0.573
GO:0047105	GO:0047105	0.573
GO:0008465	GO:0008465	0.573
GO:0016618	GO:0016618	0.573
GO:0004350	GO:0004350	0.573
GO:0004657	GO:0004657	0.657
GO:0009055	GO:0009055	0.788
GO:0004470	GO:0004470	0.573
GO:0004420	GO:0004420	0.573
GO:0004616	GO:0004616	0.573
GO:0003858	GO:0003858	0.573
GO:0016617	GO:0016617	0.573
GO:0016628	GO:0016628	0.657
GO:0004735	GO:0004735	0.573
GO:0016712	GO:0016712	0.576
GO:0050104	GO:0050104	0.573
GO:0003857	GO:0003857	0.573
GO:0047015	GO:0047015	0.573
GO:0003995	GO:0003995	0.657
GO:0016937	GO:0016937	0.573
GO:0008442	GO:0008442	0.573
GO:0004466	GO:0004466	0.573
GO:0018478	GO:0018478	0.573
GO:0004491	GO:0004491	0.573
GO:0004031	GO:0004031	0.573
GO:0004152	GO:0004152	0.573
GO:0042356	GO:0042356	0.573
GO:0050577	GO:0050577	0.573
GO:0000253	GO:0000253	0.573
GO:0016616	GO:0016616	0.657
GO:0047016	GO:0047016	0.573
GO:0102175	GO:0102175	0.573
GO:0000252	GO:0000252	0.573
GO:0061731	GO:0061731	0.573
GO:0004784	GO:0004784	0.594
GO:0015035	GO:0015035	0.573
GO:0003979	GO:0003979	0.573
GO:0047655	GO:0047655	0.573
GO:0043795	GO:0043795	0.657
GO:0047939	GO:0047939	0.573
GO:0036130	GO:0036130	0.573
GO:0001758	GO:0001758	0.573
GO:0004033	GO:0004033	0.573
GO:0045550	GO:0045550	0.788
GO:0047718	GO:0047718	0.573
GO:0047886	GO:0047886	0.573
GO:0033703	GO:0033703	0.573
GO:0016655	GO:0016655	0.657
GO:0047115	GO:0047115	0.573
GO:0047020	GO:0047020	0.573
GO:0004745	GO:0004745	0.573
GO:0045703	GO:0045703	0.657
GO:0036131	GO:0036131	0.573
GO:0047017	GO:0047017	0.573
GO:0016229	GO:0016229	0.788
GO:0050571	GO:0050571	0.573
GO:0016684	GO:0016684	0.788
GO:0004074	GO:0004074	0.573
GO:0052874	GO:0052874	0.573
GO:0052873	GO:0052873	0.573
GO:0042602	GO:0042602	0.573
GO:0003973	GO:0003973	0.573
GO:0047969	GO:0047969	0.573
GO:0008131	GO:0008131	0.573
GO:0008718	GO:0008718	0.657
GO:0003884	GO:0003884	0.573
GO:0043799	GO:0043799	0.573
GO:0003853	GO:0003853	0.573
GO:0070991	GO:0070991	0.573
GO:0003997	GO:0003997	0.573
GO:0033791	GO:0033791	0.657
GO:0052903	GO:0052903	0.573
GO:0046592	GO:0046592	0.573
GO:0004753	GO:0004753	0.573
GO:0003960	GO:0003960	0.573
GO:0051903	GO:0051903	0.573
GO:0080007	GO:0080007	0.573
GO:0050153	GO:0050153	0.573
GO:0047941	GO:0047941	0.573
GO:1990002	GO:1990002	0.573
GO:0047743	GO:0047743	0.573
GO:0004030	GO:0004030	0.573
GO:0016155	GO:0016155	0.573
GO:0003842	GO:0003842	0.573
GO:0003863	GO:0003863	0.573
GO:0047021	GO:0047021	0.573
GO:0004090	GO:0004090	0.573
GO:0050221	GO:0050221	0.573
GO:0003955	GO:0003955	0.573
GO:0008812	GO:0008812	0.657
GO:0047127	GO:0047127	0.573
GO:0004128	GO:0004128	0.573
GO:0016175	GO:0016175	0.573
GO:0016722	GO:0016722	0.788
GO:0140571	GO:0140571	0.657
GO:0140575	GO:0140575	0.788
GO:0008121	GO:0008121	0.657
GO:0034875	GO:0034875	0.573
GO:0004497	GO:0004497	0.788
GO:0008389	GO:0008389	0.576
GO:0071614	GO:0071614	0.576
GO:0008401	GO:0008401	0.576
GO:0036134	GO:0036134	0.573
GO:0050649	GO:0050649	0.573
GO:0062183	GO:0062183	0.657
GO:0008395	GO:0008395	0.657
GO:0008391	GO:0008391	0.576
GO:0102033	GO:0102033	0.573
GO:0052722	GO:0052722	0.657
GO:0008670	GO:0008670	0.573
GO:0019166	GO:0019166	0.573
GO:0042284	GO:0042284	0.657
GO:0047598	GO:0047598	0.573
GO:0047837	GO:0047837	0.573
GO:0004146	GO:0004146	0.573
GO:0033560	GO:0033560	0.573
GO:0018455	GO:0018455	0.573
GO:0000140	GO:0000140	0.573
GO:0004591	GO:0004591	0.573
GO:0016174	GO:0016174	0.573
GO:0045485	GO:0045485	0.657
GO:0016717	GO:0016717	0.657
GO:0102965	GO:0102965	0.573
GO:0080019	GO:0080019	0.573
GO:0004345	GO:0004345	0.573
GO:0004375	GO:0004375	0.573
GO:0004353	GO:0004353	0.573
GO:0004392	GO:0004392	0.657
GO:0016404	GO:0016404	0.573
GO:0102196	GO:0102196	0.573
GO:0047834	GO:0047834	0.573
GO:0003938	GO:0003938	0.573
GO:0047545	GO:0047545	0.657
GO:0047860	GO:0047860	0.573
GO:0047995	GO:0047995	0.573
GO:0033787	GO:0033787	0.573
GO:0004486	GO:0004486	0.573
GO:0003954	GO:0003954	0.657
GO:0001512	GO:0001512	0.788
GO:0016661	GO:0016661	0.788
GO:0004617	GO:0004617	0.573
GO:0004155	GO:0004155	0.573
GO:0102354	GO:0102354	0.573
GO:0000721	GO:0000721	0.573
GO:0047833	GO:0047833	0.657
GO:0003939	GO:0003939	0.573
GO:0050255	GO:0050255	0.573
GO:0120147	GO:0120147	0.573
GO:0102758	GO:0102758	0.573
GO:0070674	GO:0070674	0.573
GO:0070675	GO:0070675	0.573
GO:0004854	GO:0004854	0.573
GO:0004855	GO:0004855	0.573
GO:0080132	GO:0080132	0.788
GO:0047102	GO:0047102	0.573
GO:0097621	GO:0097621	0.573
GO:0016615	GO:0016615	0.657
GO:0047988	GO:0047988	0.657
GO:0051990	GO:0051990	0.657
GO:0016706	GO:0016706	0.576
GO:0004757	GO:0004757	0.573
GO:0035516	GO:0035516	0.581
GO:0035515	GO:0035515	0.608
GO:0016972	GO:0016972	0.573
GO:0051920	GO:0051920	0.594
GO:0004368	GO:0004368	0.573
GO:0016709	GO:0016709	0.576
GO:0016651	GO:0016651	0.788
GO:0008682	GO:0008682	0.657
GO:0017113	GO:0017113	0.573
GO:0047865	GO:0047865	0.573
GO:0050031	GO:0050031	0.573
GO:0008115	GO:0008115	0.573
GO:0016645	GO:0016645	0.788
GO:0047522	GO:0047522	0.573
GO:0003920	GO:0003920	0.573
GO:0016667	GO:0016667	0.788
GO:0016671	GO:0016671	0.657
GO:0015036	GO:0015036	0.657
GO:0047726	GO:0047726	0.657
GO:0003958	GO:0003958	0.573
GO:0062181	GO:0062181	0.573
GO:0070576	GO:0070576	0.657
GO:0030343	GO:0030343	0.573
GO:0016705	GO:0016705	0.788
GO:0004322	GO:0004322	0.573
GO:0016724	GO:0016724	0.657
GO:0047066	GO:0047066	0.657
GO:0098809	GO:0098809	0.657
GO:0008940	GO:0008940	0.657
GO:0050610	GO:0050610	0.573
GO:0008113	GO:0008113	0.573
GO:0033745	GO:0033745	0.573
GO:0033743	GO:0033743	0.573
GO:0016653	GO:0016653	0.657
GO:0008823	GO:0008823	0.573
GO:0052851	GO:0052851	0.573
GO:0032542	GO:0032542	0.594
GO:0062184	GO:0062184	0.657
GO:0051786	GO:0051786	0.657
GO:0033735	GO:0033735	0.657
GO:0001716	GO:0001716	0.573
GO:0016679	GO:0016679	0.788
GO:0047748	GO:0047748	0.573
GO:0031073	GO:0031073	0.573
GO:0052597	GO:0052597	0.573
GO:0052598	GO:0052598	0.573
GO:0050232	GO:0050232	0.573
GO:0030342	GO:0030342	0.573
GO:0062180	GO:0062180	0.573
GO:0062185	GO:0062185	0.657
GO:0000246	GO:0000246	0.573
GO:0050614	GO:0050614	0.573
GO:0050113	GO:0050113	0.657
GO:0102149	GO:0102149	0.573
GO:0001735	GO:0001735	0.573
GO:0102389	GO:0102389	0.573
GO:0061899	GO:0061899	0.657
GO:0061897	GO:0061897	0.657
GO:0061898	GO:0061898	0.657
GO:0061896	GO:0061896	0.657
GO:0103002	GO:0103002	0.573
GO:0097259	GO:0097259	0.657
GO:0097258	GO:0097258	0.657
GO:0008480	GO:0008480	0.573
GO:0016627	GO:0016627	0.788
GO:0004361	GO:0004361	0.573
GO:0008470	GO:0008470	0.573
GO:0004733	GO:0004733	0.573
GO:0050613	GO:0050613	0.573
GO:0019153	GO:0019153	0.573
GO:0050038	GO:0050038	0.573
GO:0004800	GO:0004800	0.788
GO:0033798	GO:0033798	0.788
GO:0047058	GO:0047058	0.573
GO:0047057	GO:0047057	0.573
GO:0004489	GO:0004489	0.573
GO:0030586	GO:0030586	0.573
GO:0016723	GO:0016723	0.657
GO:0052901	GO:0052901	0.573
GO:0036185	GO:0036185	0.573
GO:0097257	GO:0097257	0.657
GO:0032440	GO:0032440	0.573
GO:0016491	GO:0016491	0.788
GO:0045236	GO:0045236	0.564
GO:0048018	GO:0048018	0.655
GO:0005125	GO:0005125	0.718
GO:0048020	GO:0048020	0.564
GO:0042379	GO:0042379	0.678
GO:0031737	GO:0031737	0.564
GO:0008009	GO:0008009	0.564
GO:0005153	GO:0005153	0.858
GO:0005102	GO:0005102	0.559
GO:0031735	GO:0031735	0.616
GO:0031732	GO:0031732	0.616
GO:0031731	GO:0031731	0.616
GO:0031728	GO:0031728	0.616
GO:0031727	GO:0031727	0.616
GO:0048248	GO:0048248	0.858
GO:0031724	GO:0031724	0.858
GO:0001664	GO:0001664	0.654
GO:0005126	GO:0005126	0.654
GO:0031730	GO:0031730	0.616
GO:0031726	GO:0031726	0.616
GO:0045237	GO:0045237	0.757
GO:0031723	GO:0031723	0.858
GO:0005540	GO:0005540	0.584
GO:0035374	GO:0035374	0.731
GO:0035373	GO:0035373	0.631
GO:1904399	GO:1904399	0.731
GO:0005539	GO:0005539	0.728
GO:0097367	GO:0097367	0.594
GO:0042834	GO:0042834	0.584
GO:0000977	GO:0000977	0.578
GO:1990837	GO:1990837	0.67
GO:0003723	GO:0003723	0.694
GO:0003676	GO:0003676	0.846
GO:0106222	GO:0106222	0.588
GO:0019843	GO:0019843	0.588
GO:0030515	GO:0030515	0.588
GO:0003729	GO:0003729	0.588
GO:0003688	GO:0003688	0.621
GO:0000049	GO:0000049	0.588
GO:0043546	GO:0043546	0.584
GO:0001046	GO:0001046	0.578
GO:0003725	GO:0003725	0.588
GO:0003727	GO:0003727	0.588
GO:0003684	GO:0003684	0.847
GO:0070034	GO:0070034	0.588
GO:0008312	GO:0008312	0.588
GO:0003690	GO:0003690	0.847
GO:0071208	GO:0071208	0.588
GO:0003697	GO:0003697	0.847
GO:0043047	GO:0043047	0.565
GO:0051880	GO:0051880	0.847
GO:0002151	GO:0002151	0.588
GO:0043565	GO:0043565	0.847
GO:0000976	GO:0000976	0.606
GO:1901363	GO:1901363	0.598
GO:0036310	GO:0036310	0.588
GO:0000987	GO:0000987	0.578
GO:0019237	GO:0019237	0.621
GO:0031490	GO:0031490	0.778
GO:0032448	GO:0032448	0.741
GO:0008327	GO:0008327	0.614
GO:0042162	GO:0042162	0.741
GO:0003696	GO:0003696	0.621
GO:0032137	GO:0032137	0.667
GO:0032138	GO:0032138	0.615
GO:0008301	GO:0008301	0.847
GO:0070878	GO:0070878	0.588
GO:0003680	GO:0003680	0.741
GO:0045322	GO:0045322	0.741
GO:0010385	GO:0010385	0.741
GO:0003691	GO:0003691	0.627
GO:0030983	GO:0030983	0.741
GO:0140431	GO:0140431	0.741
GO:0000400	GO:0000400	0.741
GO:0000403	GO:0000403	0.741
GO:0000182	GO:0000182	0.621
GO:1990247	GO:1990247	0.588
GO:0071667	GO:0071667	0.694
GO:0001016	GO:0001016	0.578
GO:0098847	GO:0098847	0.67
GO:0097100	GO:0097100	0.741
GO:0000405	GO:0000405	0.741
GO:0034617	GO:0034617	0.584
GO:1905773	GO:1905773	0.615
GO:1990814	GO:1990814	0.588
GO:0061821	GO:0061821	0.667
GO:0061849	GO:0061849	0.627
GO:0008494	GO:0008494	0.558
GO:0070883	GO:0070883	0.588
GO:0035613	GO:0035613	0.588
GO:0045142	GO:0045142	0.847
GO:0044729	GO:0044729	0.741
GO:0000339	GO:0000339	0.588
GO:0031492	GO:0031492	0.604
GO:0061752	GO:0061752	0.588
GO:0033204	GO:0033204	0.588
GO:0044378	GO:0044378	0.741
GO:0070337	GO:0070337	0.741
GO:0001165	GO:0001165	0.556
GO:0032357	GO:0032357	0.667
GO:0046906	GO:0046906	0.584
GO:0000217	GO:0000217	0.847
GO:0036002	GO:0036002	0.588
GO:0001067	GO:0001067	0.694
GO:0017069	GO:0017069	0.588
GO:0003689	GO:0003689	0.566
GO:0061860	GO:0061860	0.574
GO:0003692	GO:0003692	0.741
GO:0062153	GO:0062153	0.588
GO:0099077	GO:0099077	0.847
GO:0003681	GO:0003681	0.847
GO:0001018	GO:0001018	0.578
GO:0001163	GO:0001163	0.578
GO:0032356	GO:0032356	0.741
GO:0062104	GO:0062104	0.588
GO:0032139	GO:0032139	0.615
GO:0001161	GO:0001161	0.578
